run_id,cn_file,INP_count_recomputed,INP_count_ice,INP_count_abs_diff,INP_count_rel_diff_display,INP_cn_0_recomputed,INP_cn_0_ice,INP_cn_0_abs_diff,INP_cn_0_rel_diff_display,INP_cn_flush_recomputed,INP_cn_flush_ice,INP_cn_flush_abs_diff,INP_cn_flush_rel_diff_display,dt_inferred_s,t_flush_s,t_exp_s,flow_flush_mean,flow_exp_mean
1,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_1_cn.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5101351351351346,3.142222222222222
1,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_1_cn_1sec.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),1.0,220.0,56.0,2.5102283105022822,3.158214285714286
2,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_2_cn.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5101351351351346,3.141111111111111
2,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_2_cn_1sec.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),1.0,218.0,56.0,2.5101834862385313,3.1607142857142856
3,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_3_cn.txt,1.0,1.0,0.0,0.000000,0.35217467864060575,0.352,0.00017467864060577432,0.049625,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5099999999999993,3.155
3,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_3_cn_1sec.txt,1.0,1.0,0.0,0.000000,0.34468891825127823,0.352,0.007311081748721748,2.077012,0.0,0.0,0.0,NA(denominator=0),1.0,219.0,55.0,2.5101826484018255,3.1649090909090907
4,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_4_cn.txt,6.0,6.0,0.0,0.000000,2.0979020979020975,2.098,9.790209790239146e-05,0.004666,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5099999999999993,3.177777777777778
4,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_4_cn_1sec.txt,6.0,6.0,0.0,0.000000,2.0535052193257655,2.098,0.0444947806742344,2.120819,0.0,0.0,0.0,NA(denominator=0),1.0,219.0,55.0,2.5101826484018255,3.187454545454546
5,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_5_cn.txt,41.0,41.0,0.0,0.000000,14.099037138927097,14.098,0.001037138927095782,0.007357,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5102702702702695,3.2311111111111117
5,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_5_cn_1sec.txt,41.0,41.0,0.0,0.000000,13.800067317401552,14.098,0.2979326825984483,2.113298,0.0,0.0,0.0,NA(denominator=0),1.0,219.0,55.0,2.5101834862385313,3.2410909090909086
